iter	Passed	Remaining
0	142	42706
1	144	21601
2	147	14564
3	149	11038
4	151	8937
5	153	7535
6	155	6525
7	158	5769
8	160	5184
9	162	4702
10	163	4304
11	165	3975
12	167	3704
13	169	3465
14	172	3268
15	174	3098
16	177	2947
17	179	2808
18	180	2676
19	183	2562
20	185	2460
21	187	2363
22	189	2277
23	191	2203
24	193	2133
25	196	2072
26	198	2011
27	201	1954
28	203	1901
29	205	1852
30	208	1805
31	210	1764
32	213	1723
33	215	1685
34	217	1648
35	219	1611
36	222	1580
37	224	1549
38	227	1519
39	229	1489
40	231	1463
41	234	1438
42	236	1414
43	238	1387
44	240	1365
45	242	1341
46	245	1321
47	247	1301
48	250	1282
49	252	1263
50	255	1246
51	257	1228
52	259	1210
53	262	1194
54	264	1178
55	266	1161
56	268	1145
57	271	1132
58	273	1117
59	275	1103
60	278	1089
61	280	1076
62	282	1063
63	284	1050
64	287	1039
65	289	1027
66	292	1016
67	294	1005
68	297	994
69	299	984
70	301	973
71	304	963
72	306	953
73	308	943
74	311	933
75	313	924
76	316	915
77	318	906
78	320	897
79	323	890
80	326	883
81	329	875
82	331	867
83	334	859
84	336	850
85	338	842
86	340	834
87	343	826
88	345	819
89	347	811
90	350	803
91	352	796
92	354	789
93	357	783
94	359	776
95	362	769
96	364	762
97	366	755
98	368	749
99	371	742
100	373	736
101	376	730
102	378	724
103	381	718
104	383	711
105	385	705
106	388	700
107	390	694
108	392	688
109	395	682
110	397	676
111	399	670
112	401	664
113	403	659
114	406	653
115	408	647
116	410	642
117	412	636
118	415	631
119	417	626
120	419	620
121	421	615
122	424	610
123	426	605
124	428	600
125	431	595
126	433	590
127	435	585
128	438	580
129	440	576
130	443	571
131	445	566
132	447	561
133	449	557
134	452	552
135	454	548
136	457	543
137	459	539
138	462	535
139	464	531
140	466	526
141	469	521
142	471	517
143	473	513
144	475	508
145	478	504
146	480	500
147	483	496
148	485	492
149	487	487
150	490	483
151	492	479
152	495	475
153	497	471
154	499	467
155	502	463
156	504	459
157	506	455
158	509	451
159	511	447
160	513	443
161	515	439
162	518	435
163	520	431
164	522	427
165	524	423
166	527	419
167	529	416
168	532	412
169	534	408
170	536	404
171	539	401
172	541	397
173	544	394
174	546	390
175	549	387
176	551	383
177	554	379
178	556	376
179	558	372
180	561	368
181	563	365
182	565	361
183	568	358
184	570	354
185	573	351
186	575	348
187	578	344
188	581	341
189	584	338
190	586	334
191	589	331
192	591	327
193	593	324
194	596	321
195	598	317
196	600	314
197	603	310
198	605	307
199	608	304
200	610	300
201	612	297
202	615	293
203	617	290
204	619	287
205	622	283
206	624	280
207	627	277
208	629	273
209	631	270
210	633	267
211	636	264
212	638	260
213	641	257
214	643	254
215	645	251
216	648	247
217	650	244
218	652	241
219	655	238
220	657	234
221	659	231
222	661	228
223	664	225
224	666	222
225	669	219
226	671	215
227	673	212
228	675	209
229	678	206
230	680	203
231	682	200
232	685	197
233	687	193
234	689	190
235	692	187
236	694	184
237	697	181
238	699	178
239	701	175
240	704	172
241	706	169
242	709	166
243	711	163
244	714	160
245	716	157
246	719	154
247	721	151
248	724	148
249	726	145
250	728	142
251	731	139
252	733	136
253	735	133
254	738	130
255	740	127
256	742	124
257	744	121
258	747	118
259	749	115
260	751	112
261	754	109
262	756	106
263	758	103
264	761	100
265	763	97
266	765	94
267	768	91
268	770	88
269	772	85
270	775	82
271	777	80
272	780	77
273	782	74
274	784	71
275	786	68
276	788	65
277	791	62
278	793	59
279	796	56
280	798	54
281	801	51
282	803	48
283	806	45
284	808	42
285	810	39
286	813	36
287	815	33
288	817	31
289	820	28
290	822	25
291	825	22
292	827	19
293	830	16
294	832	14
295	834	11
296	837	8
297	839	5
298	841	2
299	844	0
